Date,Open,High,Low,Close
1980-01-31,1.5774,1.638,1.5701,1.638
1980-02-29,1.6335,1.7024,1.6059,1.7024
1980-03-31,1.7149,1.8514,1.7105,1.8514
1980-04-30,1.864,1.877,1.6675,1.6675
1980-05-31,1.668,1.695,1.6375,1.6619
1980-06-30,1.6601,1.6601,1.6135,1.6297
1980-07-31,1.6265,1.6481,1.5875,1.648
1980-08-31,1.663,1.674,1.6299,1.6489
1980-09-30,1.636,1.661,1.6258,1.6535
1980-10-31,1.6419,1.7151,1.6329,1.7151
1980-11-30,1.7169,1.7454,1.7039,1.7385
1980-12-31,1.7525,1.8306,1.7505,1.7874
1981-01-31,1.79,1.932,1.7505,1.932
1981-02-28,1.9199,2.0174,1.885,1.962
1981-03-31,1.9825,1.9825,1.865,1.9282
1981-04-30,1.9163,2.0211,1.9163,2.0209
1981-05-31,2.0181,2.0861,2.0181,2.0757
1981-06-30,2.076,2.1441,2.0279,2.0496
1981-07-31,2.075,2.1486,2.0701,2.1486
1981-08-31,2.1979,2.204,2.132,2.1421
1981-09-30,2.1595,2.1595,1.9068,1.9749
1981-10-31,1.969,1.969,1.835,1.835
1981-11-30,1.8024,1.8179,1.757,1.7726
1981-12-31,1.7865,1.847,1.7785,1.7879
1982-01-31,1.7916,1.8696,1.7916,1.8461
1982-02-28,1.875,1.9145,1.872,1.899
1982-03-31,1.8934,1.9385,1.842,1.9385
1982-04-30,1.941,1.9859,1.9396,1.9569
1982-05-31,1.9439,1.9989,1.888,1.9974
1982-06-30,2.025,2.1365,2.0199,2.0994
1982-07-31,2.1025,2.1469,2.0209,2.1001
1982-08-31,2.066,2.1601,2.0401,2.1269
1982-09-30,2.1251,2.1815,2.1029,2.1708
1982-10-31,2.1741,2.2119,2.1176,2.2075
1982-11-30,2.1909,2.2406,2.1175,2.1175
1982-12-31,2.111,2.2125,1.9949,2.0075
1983-01-31,1.994,2.0249,1.916,2.015
1983-02-28,2.0156,2.0624,1.9786,2.0624
1983-03-31,2.0675,2.087,2.0431,2.0855
1983-04-30,2.0876,2.0876,2.0401,2.0731
1983-05-31,2.0684,2.0961,2.0226,2.0961
1983-06-30,2.1091,2.1375,2.0815,2.1025
1983-07-31,2.106,2.1344,2.0974,2.1344
1983-08-31,2.155,2.1954,2.1379,2.1869
1983-09-30,2.1885,2.19,2.1201,2.1201
1983-10-31,2.1129,2.143,2.087,2.143
1983-11-30,2.1616,2.1865,2.1506,2.1615
1983-12-31,2.1629,2.2199,2.1629,2.1791
1984-01-31,2.2164,2.2531,2.2164,2.2531
1984-02-29,2.2351,2.2399,2.1664,2.168
1984-03-31,2.1761,2.1766,2.1095,2.1526
1984-04-30,2.1536,2.2465,2.1536,2.2465
